        PEBBLES , 2    
         PEEPED , 2    
         PEOPLE , 5    
      PERFECTLY , 2    
        PERHAPS , 7    
         PERSON , 3    
       PICTURES , 4    
         PIGEON , 12   
          PLACE , 2    
           PLAN , 3    
           PLAY , 2    
        PLEADED , 2    
         PLEASE , 5    
         POCKET , 3    
         POISON , 3    
       POLITELY , 2    
           POOL , 9    
           POOR , 16   
       POSSIBLY , 2    
           PRAY , 2    
      PRESENTLY , 2    
        PRESSED , 3    
       PREVIOUS , 4    
         PRIZES , 5    
          PUPPY , 7    
       PUZZLING , 4    
          QUEER , 6    
       QUESTION , 11   
          QUITE , 26   
         RABBIT , 20   
     RABBITHOLE , 3    
        RABBITS , 4    
           RACE , 2    
        RAILWAY , 2    
        RAPIDLY , 2    
           RATE , 5    
         RATHER , 9    
          REACH , 3    
           READ , 2    
          READY , 5    
         REALLY , 5    
         REASON , 3    
       REMAINED , 2    
     REMARKABLE , 2    
      REMARKING , 2    
       REMEMBER , 7    
     REMEMBERED , 5    
         REPEAT , 2    
        REPLIED , 8    
           REST , 3    
          RIGHT , 15   
      RIGHTHAND , 2    
           RING , 2    
       RINGLETS , 2    
           ROOF , 4    
           ROOM , 8    
          ROUND , 18   
          RULES , 2    
        RUNNING , 3    
           RUSH , 2    
          SADLY , 2    
           SAID , 120  
           SALT , 2    
           SAME , 8    
         SAYING , 9    
           SAYS , 3    
         SECOND , 2    
           SEEM , 4    
         SEEMED , 16   
          SEEMS , 4    
           SEEN , 5    
        SENDING , 2    
        SERPENT , 9    
       SERPENTS , 3    
        SEVERAL , 4    
       SEVERELY , 2    
          SHALL , 13   
          SHANT , 3    
          SHARP , 3    
        SHARPLY , 2    
          SHELL , 2    
           SHES , 4    
          SHOOK , 4    
          SHORE , 2    
          SHORT , 3    
        SHORTER , 2    
         SHOULD , 10   
      SHOULDERS , 3    
       SHOULDNT , 2    
           SHOW , 2    
         SHRIEK , 2    
      SHRINKING , 4    
           SHUT , 3    
       SHUTTING , 2    
           SIDE , 8    
          SIDES , 3    
          SIGHT , 4    
        SILENCE , 8    
         SIMPLY , 2    
          SINCE , 3    
         SISTER , 2    
        SITTING , 2    
           SIZE , 12   
         SLEEPY , 3    
        SLIPPED , 2    
         SLOWLY , 3    
          SMALL , 8    
        SMALLER , 3    
       SMALLEST , 2    
        SMOKING , 2    
         SNATCH , 2    
       SOLEMNLY , 2    
           SOME , 16   
       SOMEBODY , 3    
      SOMETHING , 12   
